domain,category,descriptor,subtype,unit,method,data_status,links_to
surface,texture_classification,staining,soot,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face penalty)
surface,texture_classification,staining,unknown,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face penalty)
surface,texture_classification,original_finish,ceramic_tile,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face priority)
surface,texture_classification,original_finish,stone_tile,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face priority)
surface,texture_classification,original_finish,mosaic,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face priority)
surface,texture_classification,original_finish,paint,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face priority)
surface,texture_classification,original_finish,plaster,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face priority)
surface,texture_classification,original_finish,render,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face priority)
surface,texture_classification,original_finish,screed,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face priority)
surface,texture_classification,original_finish,unknown,–,GPT-4o vision / 8×8 spatial grid,ai-annotated,design_assignment (show_face priority)
structural,integrity,rebar_present,,boolean,physical inspection / rebar_visible proxy,measured→pseudo,connection_strategy; design_assignment
structural,integrity,concrete_class_assumed,,–,assumed from archetype,pseudo,handling_class
structural,integrity,integrity_note,,text,visual inspection,measured,design_assignment
procedural,derived,connection_strategy,direct_bolt,class,rule: planarity + surface condition,derived,
procedural,derived,connection_strategy,adaptive_bracket,class,rule: planarity + surface condition,derived,
procedural,derived,connection_strategy,no_drill,class,rule: planarity + surface condition,derived,
procedural,derived,connection_strategy,gravity_only,class,rule: planarity + surface condition,derived,
procedural,derived,handling_class,manual,class,rule: mass_est + obb_dims,derived,
procedural,derived,handling_class,two_person,class,rule: mass_est + obb_dims,derived,
procedural,derived,handling_class,excavator,class,rule: mass_est + obb_dims,derived,
procedural,derived,design_assignment,show_face,class,rule: face-region texture labels,derived,
procedural,derived,design_assignment,seat_face,class,rule: face-region texture labels,derived,
procedural,derived,design_assignment,buried,class,rule: face-region texture labels,derived,
procedural,derived,design_assignment,unassigned,class,rule: face-region texture labels,derived,
